B.1.1.7	1122521
B.1.617.2	169336
None	53535
B.1.2	114743
AY.71	1498
B.1.526	42691
B.1.1	55316
B.1.36	7072
B.1.9	163
B.1	106989
B.1.160	34358
B.1.236	549
AY.9	14832
AY.122	169118
AY.4	760373
AY.2	2877
AY.43	231723
AY.102	19485
AY.20	28907
AY.90	1795
AY.42	28506
B.1.222	599
AY.44	201101
A.27	605
B.1.525	9086
AY.100	25235
Q.1	7866
AY.39	50551
B.1.400	2366
B.1.597	228
AY.116	4534
AY.73	1259
AY.125	27637
AY.98.1	25317
B.1.351.5	1652
AY.9.2	28161
AY.5	49643
AY.124	8773
B.1.351	34364
B.1.524	813
B.1.629	432
C.16	958
B.1.619	1164
B.1.1.519	25183
B.1.214	116
B.1.214.2	1636
P.3	625
B.1.617.1	8093
P.1	64890
C.36	1102
B.1.1.375	90
B.1.137	5
C.35	1332
C.37	9018
AY.61	9170
B.1.1.372	1446
B.1.1.318	3482
AY.64	1659
AY.46.6	21728
B.1.1.1	3043
B.1.620	1182
AY.91	1498
AY.38	1655
AY.5.1	270
AY.94	2363
AY.34	13631
AY.87	1265
AY.36	9565
AY.29.1	6105
B.1.177	76327
B.1.1.275	90
B.1.258.20	63
B.1.177.32	741
B.1.177.52	570
A.30	5
Q.7	908
A.21	402
B.1.214.3	148
Q.4	3322
B.1.427	20335
AY.26	38585
AY.47	35328
AY.114	5670
B	9509
A	2762
AY.98	35121
AY.25	209666
AY.75	26466
AY.119	37927
B.1.575	3185
B.1.429	43673
AY.103	214360
AY.35	4760
AY.89	965
AY.122.1	16072
AY.49	224
AY.88	2669
B.1.220	96
P.2	5461
N.3	175
B.1.499	979
N.5	598
B.1.1.348	1294
B.1.36.1	869
C.26	139
L.3	281
N.9	170
P.7	228
P.1.17	6196
B.1.1.33	2390
A.2.5.2	642
B.1.1.28	3252
P.1.15	4580
P.1.14	21075
B.1.1.307	406
P.1.2	950
P.1.1	3136
B.1.1.442	48
B.1.1.135	222
P.1.12	2076
P.1.7	3446
B.1.600	150
P.1.10	3800
A.2.5	2070
B.1.1.128	152
P.1.13	1196
B.1.336	435
AY.54	20458
AY.9.1	13695
AY.45	7644
AY.6	26574
AY.23	14226
AY.3	121430
AY.97	693
AY.33	18646
AY.70	5164
AY.24	2509
AY.75.2	359
AY.121	10840
B.1.621	11885
AY.32	1767
AY.29	80547
AY.108	1354
AY.118	18469
AY.46	19206
AY.101	3366
AY.113	10238
AY.46.3	1314
AY.99.2	17006
AY.3.1	13219
AY.117	11856
C.37.1	341
BA.1	2142
C.22	14
B.1.1.117	113
B.1.111	859
B.1.104	264
P.1.16	2670
B.1.1.274	196
B.40	2753
B.1.498	49
B.1.503	404
B.1.258	15355
B.1.8	707
A.1	3570
B.1.110	244
B.1.212	61
C.11	94
B.37	34
B.1.243	14725
B.1.1.192	437
B.1.1.269	744
AY.105	969
XB	3032
B.1.1.409	383
B.1.1.222	5105
B.1.433	383
B.4	447
B.1.1.163	129
AY.110	6642
AY.78	1664
B.1.177.73	1673
B.1.1.10	932
B.1.1.419	134
B.1.1.203	57
B.1.1.16	20
B.1.240.1	40
B.1.1.231	325
B.1.623	1847
C.2.1	151
W.1	115
B.1.409	1303
B.1.189	232
B.1.177.81	5291
B.1.240	4745
B.1.588	1120
R.1	10995
B.1.637	13771
B.1.221	14058
B.1.576	899
B.1.349	1396
B.1.177.62	837
B.1.561	2525
B.1.625	452
P.1.10.1	83
B.1.621.1	2053
AY.53	3443
AY.66	1822
AY.62	2704
AY.14	12126
AY.120	28476
AY.39.1	28669
AY.93	3768
AY.4.2	81711
AY.5.2	479
A.2.2	592
B.1.319	328
B.4.4	54
B.61	177
B.35	128
B.1.356	579
B.1.83	64
B.28	310
B.6	1096
B.55	367
B.29	282
B.1.523	433
D.2	13341
B.1.1.263	644
B.1.1.25	1881
AY.39.1.1	3271
AY.30	3031
AY.107	2709
AY.23.1	2648
AY.83	611
AY.7.1	9542
AY.4.3	1577
AY.57	2146
B.1.466.2	2672
B.1.1.416	1119
B.1.541	228
B.1.596	11829
Q.8	5403
B.1.177.48	320
B.1.36.17	2075
B.1.1.317	2543
A.29	224
AU.3	481
B.1.351.3	1228
AY.40	1217
AY.84	1918
B.1.517.1	188
AY.37	3566
AY.82	727
AY.99	1202
AY.4.5	12113
AY.28	761
AY.92	3126
B.4.6	60
A.2	1530
B.1.1.161	328
A.5	527
B.1.1.70	3006
B.1.1.133	117
B.1.552	67
B.1.1.216	1168
B.1.36.19	112
B.1.595	3822
B.1.1.432	774
B.1.556	133
B.39	430
B.1.1.190	20
B.1.320	807
B.1.178	40
B.3	1201
B.1.1.89	169
B.1.415	71
B.1.234	7653
B.1.13	420
B.26	70
B.1.391	874
B.1.564	2448
A.3	483
B.1.177.12	6591
B.1.398	345
B.1.1.315	128
B.31	269
B.1.36.29	2590
B.1.1.418	52
B.1.627	480
B.6.5	13
B.1.416	770
C.36.3	1782
AY.106	3836
AY.74	10253
B.1.36.38	630
B.1.1.254	101
B.1.1.189	621
B.1.36.8	1035
B.1.1.284	9494
B.1.1.389	157
B.1.1.431	64
B.1.426	1003
B.1.36.36	1661
B.1.9.5	158
B.4.8	14
B.1.1.46	229
B.1.1.353	70
B.1.258.9	202
B.1.459	302
B.1.564.1	672
B.1.1.243	247
B.1.177.87	1380
B.1.1.312	485
B.1.177.57	3568
B.1.1.39	1951
B.1.36.10	212
B.1.237	224
B.1.1.344	95
AL.1	77
B.1.1.214	18127
B.1.177.44	1905
B.1.568	905
B.1.170	247
B.1.596.1	103
B.1.438.1	9389
B.1.177.86	5452
B.1.470	847
B.1.1.159	217
B.1.1.420	989
B.1.298	489
B.1.146	232
B.1.452	76
B.1.241	1283
B.1.517	2344
B.1.36.31	597
B.1.465	265
B.1.1.71	165
B.1.384	340
B.1.428	1031
B.58	98
B.1.23	168
B.1.1.198	672
B.1.108	174
A.19	110
B.1.1.77	24
B.1.260	231
B.1.1.413	159
B.4.7	99
B.1.530	158
B.1.311	3565
B.1.338	129
B.1.438	144
AY.65	2075
B.5	26
B.1.434	17
B.1.1.306	2350
B.1.113	62
AY.69	7103
AY.67	2087
AY.4.1	1435
B.1.177.7	5979
B.1.177.60	5128
