B;B.1;B.1.1;B.1.1.7 1122521
B;B.1;B.1.617;B.1.617.2 169336
None 53535
B;B.1;B.1.2 114743
B;B.1;B.1.617;B.1.617.2;AY.71 1498
B;B.1;B.1.526 42691
B;B.1;B.1.1 55316
B;B.1;B.1.36 7072
B;B.1;B.1.9 163
B;B.1 106989
B;B.1;B.1.160 34358
B;B.1;B.1.236 549
B;B.1;B.1.617;B.1.617.2;AY.9 14832
B;B.1;B.1.617;B.1.617.2;AY.122 169118
B;B.1;B.1.617;B.1.617.2;AY.4 760373
B;B.1;B.1.617;B.1.617.2;AY.2 2877
B;B.1;B.1.617;B.1.617.2;AY.43 231723
B;B.1;B.1.617;B.1.617.2;AY.102 19485
B;B.1;B.1.617;B.1.617.2;AY.20 28907
B;B.1;B.1.617;B.1.617.2;AY.90 1795
B;B.1;B.1.617;B.1.617.2;AY.42 28506
B;B.1;B.1.222 599
B;B.1;B.1.617;B.1.617.2;AY.44 201101
A;A.27 605
B;B.1;B.1.525 9086
B;B.1;B.1.617;B.1.617.2;AY.100 25235
B;B.1;B.1.1;B.1.1.7;Q.1 7866
B;B.1;B.1.617;B.1.617.2;AY.39 50551
B;B.1;B.1.400 2366
B;B.1;B.1.597 228
B;B.1;B.1.617;B.1.617.2;AY.116 4534
B;B.1;B.1.617;B.1.617.2;AY.73 1259
B;B.1;B.1.617;B.1.617.2;AY.125 27637
B;B.1;B.1.617;B.1.617.2;AY.98;AY.98.1 25317
B;B.1;B.1.351;B.1.351.5 1652
B;B.1;B.1.617;B.1.617.2;AY.9;AY.9.2 28161
B;B.1;B.1.617;B.1.617.2;AY.5 49643
B;B.1;B.1.617;B.1.617.2;AY.124 8773
B;B.1;B.1.351 34364
B;B.1;B.1.524 813
B;B.1;B.1.629 432
B;B.1;B.1.1;B.1.1.1;C.16 958
B;B.1;B.1.619 1164
B;B.1;B.1.1;B.1.1.519 25183
B;B.1;B.1.214 116
B;B.1;B.1.214;B.1.214.2 1636
B;B.1;B.1.1;B.1.1.28;P.3 625
B;B.1;B.1.617;B.1.617.1 8093
B;B.1;B.1.1;B.1.1.28;P.1 64890
B;B.1;B.1.1;B.1.1.1;C.36 1102
B;B.1;B.1.1;B.1.1.375 90
B;B.1;B.1.137 5
B;B.1;B.1.1;B.1.1.1;C.35 1332
B;B.1;B.1.1;B.1.1.1;C.37 9018
B;B.1;B.1.617;B.1.617.2;AY.61 9170
B;B.1;B.1.1;B.1.1.372 1446
B;B.1;B.1.1;B.1.1.318 3482
B;B.1;B.1.617;B.1.617.2;AY.64 1659
B;B.1;B.1.617;B.1.617.2;AY.46;AY.46.6 21728
B;B.1;B.1.1;B.1.1.1 3043
B;B.1;B.1.620 1182
B;B.1;B.1.617;B.1.617.2;AY.91 1498
B;B.1;B.1.617;B.1.617.2;AY.38 1655
B;B.1;B.1.617;B.1.617.2;AY.5;AY.5.1 270
B;B.1;B.1.617;B.1.617.2;AY.94 2363
B;B.1;B.1.617;B.1.617.2;AY.34 13631
B;B.1;B.1.617;B.1.617.2;AY.87 1265
B;B.1;B.1.617;B.1.617.2;AY.36 9565
B;B.1;B.1.617;B.1.617.2;AY.29;AY.29.1 6105
B;B.1;B.1.177 76327
B;B.1;B.1.1;B.1.1.275 90
B;B.1;B.1.258;B.1.258.20 63
B;B.1;B.1.177;B.1.177.32 741
B;B.1;B.1.177;B.1.177.52 570
A;A.30 5
B;B.1;B.1.1;B.1.1.7;Q.7 908
A;A.21 402
B;B.1;B.1.214;B.1.214.3 148
B;B.1;B.1.1;B.1.1.7;Q.4 3322
B;B.1;B.1.427 20335
B;B.1;B.1.617;B.1.617.2;AY.26 38585
B;B.1;B.1.617;B.1.617.2;AY.47 35328
B;B.1;B.1.617;B.1.617.2;AY.114 5670
B 9509
A 2762
B;B.1;B.1.617;B.1.617.2;AY.98 35121
B;B.1;B.1.617;B.1.617.2;AY.25 209666
B;B.1;B.1.617;B.1.617.2;AY.75 26466
B;B.1;B.1.617;B.1.617.2;AY.119 37927
B;B.1;B.1.575 3185
B;B.1;B.1.429 43673
B;B.1;B.1.617;B.1.617.2;AY.103 214360
B;B.1;B.1.617;B.1.617.2;AY.35 4760
B;B.1;B.1.617;B.1.617.2;AY.89 965
